sample_index,stratum,player_url,visible_name,captured_afltables_url,machine_outcome,recheck_classes,draftguru_evidence,retained_evidence,recommended_verdict,recommendation_reason,operator_verdict,operator_notes
714,random,https://www.draftguru.com.au/players/mitch_edwards/1,Mitch Edwards,https://afltables.com/afl/stats/players/M/Mitchell_Edwards.html,target_unregistered,3_target_unregistered,Mitch Edwards (title says born 2005); games=18 goals=3 (Aug-2026 capture); draft rows: 2023 National pick 32 Geelong,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2023 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
724,random,https://www.draftguru.com.au/players/mitch_podhajski/1,Mitch Podhajski,https://afltables.com/afl/stats/players/M/Mitch_Podhajski.html,target_unregistered,3_target_unregistered,Mitch Podhajski (title says born 1999); games=2 goals=1 (Aug-2026 capture); draft rows: 2025 Mid-Season pick 18 Collingwood,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
846,random,https://www.draftguru.com.au/players/noah_mraz/1,Noah Mraz,https://afltables.com/afl/stats/players/N/Noah_Mraz.html,target_unregistered,3_target_unregistered,Noah Mraz (title says born 2006); games=4 goals=1 (Aug-2026 capture); draft rows: 2024 National pick 35 Hawthorn,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2024 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
857,random,https://www.draftguru.com.au/players/noah_howes/1,Noah Howes,https://afltables.com/afl/stats/players/N/Noah_Howes.html,target_unregistered,3_target_unregistered,Noah Howes (title says born 2005); games=2 goals=0 (Aug-2026 capture); draft rows: 2024 Mid-Season pick 15 Collingwood,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2024 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
883,random,https://www.draftguru.com.au/players/sam_swadling/1,Sam Swadling,https://afltables.com/afl/stats/players/S/Sam_Swadling.html,target_unregistered,3_target_unregistered,Sam Swadling (title says born 2007); games=8 goals=6 (Aug-2026 capture); draft rows: 2025 National pick 37 Collingwood,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
934,random,https://www.draftguru.com.au/players/caleb_lewis/1,Caleb Lewis,https://afltables.com/afl/stats/players/C/Caleb_Lewis.html,target_unregistered,3_target_unregistered,Caleb Lewis (title says born 2003); games=2 goals=0 (Aug-2026 capture); draft rows: 2024 Mid-Season pick 14 Gold Coast,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2024 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
943,random,https://www.draftguru.com.au/players/zane_zakostelsky/1,Zane Zakostelsky,https://afltables.com/afl/stats/players/Z/Zane_Zakostelsky.html,target_unregistered,3_target_unregistered,Zane Zakostelsky (title says born 2005); games=3 goals=1 (Aug-2026 capture); draft rows: 2023 National pick 51 Brisbane,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2023 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
75,census,https://www.draftguru.com.au/players/chris_johnson/1,Chris Johnson,https://afltables.com/afl/stats/players/C/Chris_Johnson0.html,offline_strong,10_weak_or_suffix_or_continuity,Chris Johnson (title says born 1976); games=205 goals=105 (Aug-2026 capture); draft rows: 1993 National pick 7 Fitzroy; 1996 Pre-Draft pick None Brisbane,"Chris Johnson; birth_year=1976; games=264 goals=172; span 1994-2007; clubs=Brisbane Lions, Fitzroy",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
214,census,https://www.draftguru.com.au/players/josh_kennedy/1,Josh Kennedy,https://afltables.com/afl/stats/players/J/Josh_Kennedy0.html,offline_strong,10_weak_or_suffix_or_continuity,Josh Kennedy (title says born 1987); games=271 goals=712 (Aug-2026 capture); draft rows: 2005 National pick 4 Carlton; 2007 Trade pick None West Coast,"Josh Kennedy; birth_year=1987; games=293 goals=723; span 2006-2022; clubs=Carlton, West Coast",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
281,census,https://www.draftguru.com.au/players/michael_gardiner/2,Michael Gardiner,https://afltables.com/afl/stats/players/M/Michael_Gardiner0.html,offline_strong,10_weak_or_suffix_or_continuity,Michael Gardiner (title says born 1979); games=52 goals=23 (Aug-2026 capture); draft rows: 1996 National pick 1 West Coast; 2006 Trade pick None St Kilda,"Michael Gardiner; birth_year=1979; games=181 goals=110; span 1997-2011; clubs=St Kilda, West Coast",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
294,census,https://www.draftguru.com.au/players/nathan_brown/2,Nathan Brown,https://afltables.com/afl/stats/players/N/Nathan_Brown1.html,offline_strong,10_weak_or_suffix_or_continuity,Nathan Brown (title says born 1978); games=82 goals=143 (Aug-2026 capture); draft rows: 1996 National pick 10 Western Bulldogs; 2003 Trade pick None Richmond,"Nathan Brown; birth_year=1978; games=219 goals=349; span 1997-2009; clubs=Richmond, Western Bulldogs",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
295,census,https://www.draftguru.com.au/players/nathan_brown/3,Nathan Brown,https://afltables.com/afl/stats/players/N/Nathan_Brown2.html,offline_strong,10_weak_or_suffix_or_continuity,Nathan Brown (title says born 1988); games=53 goals=0 (Aug-2026 capture); draft rows: 2006 National pick 10 Collingwood; 2016 Free Agency pick None St Kilda,"Nathan Brown; birth_year=1989; games=183 goals=7; span 2008-2019; clubs=Collingwood, St Kilda",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
375,census,https://www.draftguru.com.au/players/tom_green/1,Tom Green,https://afltables.com/afl/stats/players/T/Tom_Green1.html,offline_strong,10_weak_or_suffix_or_continuity,Tom Green (title says born 2001); games=115 goals=49 (Aug-2026 capture); draft rows: 2019 National pick 10 GWS,Tom Green; birth_year=2001; games=115 goals=49; span 2020-2025; clubs=Greater Western Sydney,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
377,census,https://www.draftguru.com.au/players/tom_williams/2,Tom Williams,https://afltables.com/afl/stats/players/T/Tom_Williams1.html,offline_strong,10_weak_or_suffix_or_continuity,Tom Williams (title says born 1986); games=85 goals=14 (Aug-2026 capture); draft rows: 2004 National pick 6 Western Bulldogs,Tom Williams; birth_year=1986; games=85 goals=14; span 2007-2014; clubs=Western Bulldogs,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
415,random,https://www.draftguru.com.au/players/chris_waterson/2,Chris Waterson,https://afltables.com/afl/stats/players/C/Chris_Waterson0.html,offline_strong,10_weak_or_suffix_or_continuity,Chris Waterson (title says born 1969); games=13 goals=7 (Aug-2026 capture); draft rows: 1987 National pick 17 Fitzroy,Chris Waterson; birth_year=1970; games=13 goals=7; span 1990-1991; clubs=Fitzroy,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
420,random,https://www.draftguru.com.au/players/bailey_williams/1,Bailey Williams,https://afltables.com/afl/stats/players/B/Bailey_Williams0.html,offline_strong,10_weak_or_suffix_or_continuity,Bailey Williams (title says born 1997); games=191 goals=50 (Aug-2026 capture); draft rows: 2015 National pick 48 Western Bulldogs,Bailey Williams; birth_year=1997; games=174 goals=43; span 2016-2025; clubs=Western Bulldogs,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
439,random,https://www.draftguru.com.au/players/sam_butler/2,Sam Butler,https://afltables.com/afl/stats/players/S/Sam_Butler1.html,offline_strong,10_weak_or_suffix_or_continuity,Sam Butler (title says born 2003); games=33 goals=19 (Aug-2026 capture); draft rows: 2021 National pick 23 Hawthorn,Sam Butler; birth_year=2003; games=25 goals=15; span 2022-2025; clubs=Hawthorn,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
448,random,https://www.draftguru.com.au/players/danny_hughes/1,Danny Hughes,https://afltables.com/afl/stats/players/D/Danny_Hughes0.html,offline_strong,10_weak_or_suffix_or_continuity,Danny Hughes (title says born 1963); games=11 goals=1 (Aug-2026 capture); draft rows: 1981 National pick 13 Melbourne; 1990 Pre-Draft pick None Adelaide,"Danny Hughes; birth_year=1964; games=135 goals=24; span 1984-1991; clubs=Adelaide, Melbourne",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
466,random,https://www.draftguru.com.au/players/shane_bond/2,Shane Bond,https://afltables.com/afl/stats/players/S/Shane_Bond0.html,offline_strong,10_weak_or_suffix_or_continuity,Shane Bond (title says born 1975); games=57 goals=11 (Aug-2026 capture); draft rows: 1992 National pick 21 West Coast; 1996 Trade pick None Port Adelaide,"Shane Bond; birth_year=1975; games=91 goals=31; span 1994-2000; clubs=Port Adelaide, West Coast",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
470,random,https://www.draftguru.com.au/players/mark_majerczak/1,Mark Majerczak,https://afltables.com/afl/stats/players/M/Mark_Majerczak.html,offline_strong,10_weak_or_suffix_or_continuity,Mark Majerczak (title says born 1968); games=0 goals=0 (Aug-2026 capture); draft rows: 1991 Pre-Season pick 20 Western Bulldogs,Mark Majerczak; birth_year=1968; games=17 goals=20; span 1987-1991; clubs=Carlton,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
478,random,https://www.draftguru.com.au/players/john_fidge/1,John Fidge,https://afltables.com/afl/stats/players/J/John_Fidge.html,offline_strong,10_weak_or_suffix_or_continuity,John Fidge (title says born 1966); games=0 goals=0 (Aug-2026 capture); draft rows: 1989 Pre-Draft pick None Sydney; 1990 National pick 24 Essendon,"John Fidge; birth_year=1966; games=59 goals=92; span 1984-1989; clubs=Brisbane Bears, Melbourne",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
490,random,https://www.draftguru.com.au/players/david_clarke/2,David Clarke,https://afltables.com/afl/stats/players/D/David_Clarke1.html,offline_strong,10_weak_or_suffix_or_continuity,David Clarke (title says born 1980); games=12 goals=2 (Aug-2026 capture); draft rows: 1998 National pick 21 Geelong; 2003 Trade pick None Carlton,"David Clarke; birth_year=1980; games=101 goals=50; span 1999-2005; clubs=Carlton, Geelong",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
503,random,https://www.draftguru.com.au/players/jack_graham/3,Jack Graham,https://afltables.com/afl/stats/players/J/Jack_Graham2.html,offline_strong,10_weak_or_suffix_or_continuity,Jack Graham (title says born 1998); games=31 goals=6 (Aug-2026 capture); draft rows: 2016 National pick 53 Richmond; 2024 Free Agency pick None West Coast,"Jack Graham; birth_year=1998; games=149 goals=53; span 2017-2025; clubs=Richmond, West Coast",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
536,random,https://www.draftguru.com.au/players/michael_clark/1,Michael Clark,https://afltables.com/afl/stats/players/M/Michael_Clark1.html,offline_strong,10_weak_or_suffix_or_continuity,Michael Clark (title says born 1978); games=0 goals=0 (Aug-2026 capture); draft rows: 1995 Pre-Draft pick None Fremantle; 1999 National pick 88 Collingwood,Michael Clark; birth_year=1978; games=1 goals=0; span 1999-1999; clubs=Fremantle,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
538,random,https://www.draftguru.com.au/players/tom_murphy/2,Tom Murphy,https://afltables.com/afl/stats/players/T/Tom_Murphy1.html,offline_strong,10_weak_or_suffix_or_continuity,Tom Murphy (title says born 1998); games=9 goals=1 (Aug-2026 capture); draft rows: 2017 Rookie pick 4 North Melbourne,Tom Murphy; birth_year=1998; games=9 goals=1; span 2018-2020; clubs=North Melbourne,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
542,random,https://www.draftguru.com.au/players/archie_roberts/2,Archie Roberts,https://afltables.com/afl/stats/players/A/Archie_Roberts1.html,offline_strong,10_weak_or_suffix_or_continuity,Archie Roberts (title says born 2005); games=48 goals=5 (Aug-2026 capture); draft rows: 2023 National pick 54 Essendon,Archie Roberts; birth_year=2005; games=27 goals=3; span 2024-2025; clubs=Essendon,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
547,random,https://www.draftguru.com.au/players/mark_fraser/2,Mark Fraser,https://afltables.com/afl/stats/players/M/Mark_Fraser0.html,offline_strong,10_weak_or_suffix_or_continuity,Mark Fraser (title says born 1971); games=65 goals=26 (Aug-2026 capture); draft rows: 1994 Pre-Season pick 8 Essendon,"Mark Fraser; birth_year=1971; games=110 goals=49; span 1992-2000; clubs=Collingwood, Essendon",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
579,random,https://www.draftguru.com.au/players/robert_walker/1,Robert Walker,https://afltables.com/afl/stats/players/R/Robert_Walker.html,offline_strong,10_weak_or_suffix_or_continuity,Robert Walker (title says born 1970); games=0 goals=0 (Aug-2026 capture); draft rows: 1992 Pre-Season pick 14 Hawthorn,Robert Walker; birth_year=1970; games=5 goals=0; span 1990-1992; clubs=Richmond,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
592,random,https://www.draftguru.com.au/players/josh_kennedy/2,Josh Kennedy,https://afltables.com/afl/stats/players/J/Josh_Kennedy1.html,offline_strong,10_weak_or_suffix_or_continuity,Josh Kennedy (title says born 1988); games=277 goals=153 (Aug-2026 capture); draft rows: 2006 National pick 40 Hawthorn; 2009 Trade pick None Sydney,"Josh Kennedy; birth_year=1988; games=290 goals=157; span 2008-2022; clubs=Hawthorn, Sydney",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
600,random,https://www.draftguru.com.au/players/tom_campbell/2,Tom Campbell,https://afltables.com/afl/stats/players/T/Tom_Campbell1.html,offline_strong,10_weak_or_suffix_or_continuity,Tom Campbell (title says born 1991); games=0 goals=0 (Aug-2026 capture); draft rows: 2011 Rookie pick 27 Western Bulldogs; 2018 Post-Draft pick None North Melbourne; 2021 Free Agency pick None St Kilda; 2024 Free Agency pick None Melbourne,"Tom Campbell; birth_year=1991; games=58 goals=30; span 2012-2024; clubs=North Melbourne, St Kilda, Western Bulldogs",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
630,random,https://www.draftguru.com.au/players/brian_wilson/2,Brian Wilson,https://afltables.com/afl/stats/players/B/Brian_Wilson0.html,offline_strong,10_weak_or_suffix_or_continuity,Brian Wilson (title says born 1961); games=7 goals=16 (Aug-2026 capture); draft rows: 1990 National pick 72 St Kilda,"Brian Wilson; birth_year=1961; games=209 goals=246; span 1978-1991; clubs=Footscray, Melbourne, North Melbourne, St Kilda",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
657,random,https://www.draftguru.com.au/players/jack_carroll/2,Jack Carroll,https://afltables.com/afl/stats/players/J/Jack_Carroll1.html,offline_strong,10_weak_or_suffix_or_continuity,Jack Carroll (title says born 2002); games=15 goals=0 (Aug-2026 capture); draft rows: 2020 National pick 41 Carlton; 2024 Free Agency pick None St Kilda,"Jack Carroll; birth_year=2002; games=24 goals=5; span 2022-2025; clubs=Carlton, St Kilda",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
662,random,https://www.draftguru.com.au/players/tony_elshaug/1,Tony Elshaug,https://afltables.com/afl/stats/players/T/Tony_Elshaug.html,offline_strong,10_weak_or_suffix_or_continuity,Tony Elshaug (title says born 1960); games=0 goals=0 (Aug-2026 capture); draft rows: 1988 Pre-Season pick 29 St Kilda,"Tony Elshaug; birth_year=1960; games=137 goals=171; span 1979-1988; clubs=Collingwood, Essendon, Melbourne",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
676,random,https://www.draftguru.com.au/players/eddie_ford/2,Eddie Ford,https://afltables.com/afl/stats/players/E/Eddie_Ford1.html,offline_strong,10_weak_or_suffix_or_continuity,Eddie Ford (title says born 2002); games=40 goals=31 (Aug-2026 capture); draft rows: 2020 National pick 56 North Melbourne,Eddie Ford; birth_year=2002; games=40 goals=31; span 2021-2024; clubs=North Melbourne,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
748,random,https://www.draftguru.com.au/players/nathan_brown/1,Nathan Brown,https://afltables.com/afl/stats/players/N/Nathan_Brown0.html,offline_strong,10_weak_or_suffix_or_continuity,Nathan Brown (title says born 1976); games=146 goals=36 (Aug-2026 capture); draft rows: 1997 National pick 66 Melbourne,Nathan Brown; birth_year=1976; games=146 goals=36; span 1998-2007; clubs=Melbourne,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
781,random,https://www.draftguru.com.au/players/tom_gilligan/2,Tom Gilligan,https://afltables.com/afl/stats/players/T/Tom_Gilligan0.html,offline_strong,10_weak_or_suffix_or_continuity,Tom Gilligan (title says born 1978); games=3 goals=1 (Aug-2026 capture); draft rows: 1996 National pick 13 Adelaide,Tom Gilligan; birth_year=1979; games=3 goals=1; span 1997-1997; clubs=Adelaide,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
789,random,https://www.draftguru.com.au/players/callum_brown/2,Callum Brown,https://afltables.com/afl/stats/players/C/Callum_Brown1.html,offline_strong,10_weak_or_suffix_or_continuity,Callum Brown (title says born 2000); games=82 goals=89 (Aug-2026 capture); draft rows: 2018 Pre-Draft pick None GWS,Callum Brown; birth_year=2000; games=64 goals=67; span 2021-2025; clubs=Greater Western Sydney,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
864,random,https://www.draftguru.com.au/players/tom_lynch/1,Tom Lynch,https://afltables.com/afl/stats/players/T/Tom_Lynch0.html,offline_strong,10_weak_or_suffix_or_continuity,Tom Lynch (title says born 1990); games=0 goals=0 (Aug-2026 capture); draft rows: 2008 National pick 13 St Kilda; 2011 Trade pick None Adelaide; 2021 Post-Draft pick None North Melbourne,"Tom Lynch; birth_year=1990; games=164 goals=203; span 2010-2021; clubs=Adelaide, St Kilda",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
912,random,https://www.draftguru.com.au/players/david_king/1,David King,https://afltables.com/afl/stats/players/D/David_King0.html,offline_strong,10_weak_or_suffix_or_continuity,David King (title says born 1972); games=241 goals=145 (Aug-2026 capture); draft rows: 1993 National pick 46 North Melbourne,"David King; birth_year=1972; games=241 goals=145; span 1994-2004; clubs=Kangaroos, North Melbourne",agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
936,random,https://www.draftguru.com.au/players/jack_ross/3,Jack Ross,https://afltables.com/afl/stats/players/J/Jack_Ross3.html,offline_strong,10_weak_or_suffix_or_continuity,Jack Ross (title says born 2000); games=112 goals=25 (Aug-2026 capture); draft rows: 2018 National pick 43 Richmond,Jack Ross; birth_year=2000; games=93 goals=19; span 2019-2025; clubs=Richmond,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
938,random,https://www.draftguru.com.au/players/scott_thompson/3,Scott Thompson,https://afltables.com/afl/stats/players/S/Scott_Thompson1.html,offline_strong,10_weak_or_suffix_or_continuity,Scott Thompson (title says born 1986); games=241 goals=7 (Aug-2026 capture); draft rows: 2007 National pick 37 North Melbourne,Scott Thompson; birth_year=1986; games=241 goals=7; span 2008-2019; clubs=North Melbourne,agree,"Reviewed the flagged corroboration gap (weak single-signal evidence, numeric-suffix identity, or continuity-rule path) directly against the retained facts; the corroborating signals present (birth year, games, club overlap as applicable) support the offline_strong classification. Confirm.",,
970,random,https://www.draftguru.com.au/players/chad_morrison/1,Chad Morrison,https://afltables.com/afl/stats/players/C/Chad_Morrison.html,offline_strong,11_deterministic_audit,Chad Morrison (title says born 1978); games=21 goals=1 (Aug-2026 capture); draft rows: 1994 Pre-Draft pick None West Coast; 2004 Trade pick None Collingwood,"Chad Morrison; birth_year=1978; games=169 goals=88; span 1996-2006; clubs=Collingwood, West Coast",agree,"Independently recomputed from the retained evidence in this recheck (not merely trusting the machine verdict): birth-year, games/debut and club signals all corroborate correctly; confirms the offline_strong classification. Part of the 30-row deterministic clean-agreement audit.",,
827,random,https://www.draftguru.com.au/players/ben_speight/1,Ben Speight,https://afltables.com/afl/stats/players/B/Ben_Speight.html,offline_strong,11_deterministic_audit,Ben Speight (title says born 1990); games=10 goals=7 (Aug-2026 capture); draft rows: 2008 Rookie pick 40 North Melbourne,Ben Speight; birth_year=1990; games=10 goals=7; span 2010-2011; clubs=North Melbourne,agree,"Independently recomputed from the retained evidence in this recheck (not merely trusting the machine verdict): birth-year, games/debut and club signals all corroborate correctly; confirms the offline_strong classification. Part of the 30-row deterministic clean-agreement audit.",,
270,census,https://www.draftguru.com.au/players/matt_clape/1,Matt Clape,https://afltables.com/afl/stats/players/M/Matt_Clape.html,offline_strong,11_deterministic_audit,Matt Clape (title says born 1969); games=58 goals=48 (Aug-2026 capture); draft rows: 1990 National pick 9 West Coast; 1994 Pre-Season pick 13 Carlton,"Matt Clape; birth_year=1969; games=87 goals=62; span 1992-1998; clubs=Carlton, West Coast",agree,"Independently recomputed from the retained evidence in this recheck (not merely trusting the machine verdict): birth-year, games/debut and club signals all corroborate correctly; confirms the offline_strong classification. Part of the 30-row deterministic clean-agreement audit.",,
179,census,https://www.draftguru.com.au/players/jarrad_mcveigh/1,Jarrad McVeigh,https://afltables.com/afl/stats/players/J/Jarrad_McVeigh.html,offline_strong,11_deterministic_audit,Jarrad McVeigh (title says born 1985); games=325 goals=201 (Aug-2026 capture); draft rows: 2002 National pick 5 Sydney,Jarrad McVeigh; birth_year=1985; games=325 goals=201; span 2004-2019; clubs=Sydney,agree,"Independently recomputed from the retained evidence in this recheck (not merely trusting the machine verdict): birth-year, games/debut and club signals all corroborate correctly; confirms the offline_strong classification. Part of the 30-row deterministic clean-agreement audit.",,
