source_key,draft_year,competition,selection_pick,selection_raw,club,drafted_player,drafted_games_reported,drafted_profile,drafted_link,drafted_note,father,father_games_reported,father_profile,father_link,father_note
wikipedia-father-son-rule:2017:02,2017,national,50,50,Collingwood,Tyler Brown,27,players/T/Tyler_Brown.html,unique,"name, debut 2020 within 2017..2024, played for the club; games corroborated",Gavin Brown,254,players/G/Gavin_Brown.html,unique,"name, debut 1987 at least 15 seasons before 2017, played for the club; games corroborated"
wikipedia-father-son-rule:2017:03,2017,rookie,41,41 (rookie),Adelaide,Jackson Edwards,0,,unmatched,never played a VFL/AFL match (list: 0 games),Tyson Edwards,321,players/T/Tyson_Edwards.html,unique,"name, debut 1995 at least 15 seasons before 2017, played for the club; games corroborated"
wikipedia-father-son-rule:2018:01,2018,national,26,26,Western Bulldogs,Rhylee West^,81,players/R/Rhylee_West.html,unique,"name, debut 2019 within 2018..2025, played for the club; games corroborated",Scott West,324,players/S/Scott_West.html,unique,"name, debut 1993 at least 15 seasons before 2018, played for the club; games corroborated"
wikipedia-father-son-rule:2018:02,2018,national,29,29,Collingwood,Will Kelly,5,players/W/Will_Kelly.html,unique,"name, debut 2020 within 2018..2025, played for the club; games corroborated",Craig Kelly,122,players/C/Craig_Kelly.html,unique,"name, debut 1989 at least 15 seasons before 2018, played for the club; games corroborated"
wikipedia-father-son-rule:2018:03,2018,national,49,49,North Melbourne,Bailey Scott^,113,players/B/Bailey_Scott.html,unique,"name, debut 2019 within 2018..2025, played for the club; games corroborated",Robert Scott,113,players/R/Robert_Scott.html,unique,"name, debut 1986 at least 15 seasons before 2018, played for the club; games corroborated"
wikipedia-father-son-rule:2018:04,2018,national,69,69,North Melbourne,Joel Crocker,0,,unmatched,never played a VFL/AFL match (list: 0 games),Darren Crocker,165,players/D/Darren_Crocker.html,unique,"name, debut 1985 at least 15 seasons before 2018, played for the club; games corroborated"
wikipedia-father-son-rule:2018:05,2018,national,70,70,Carlton,Ben Silvagni,0,,unmatched,never played a VFL/AFL match (list: 0 games),Stephen Silvagni,312,players/S/Stephen_Silvagni.html,unique,"name, debut 1985 at least 15 seasons before 2018, played for the club; games corroborated"
wikipedia-father-son-rule:2018:06,2018,national,74,74,Geelong,Oscar Brownless,0,,unmatched,never played a VFL/AFL match (list: 0 games),Billy Brownless,198,players/B/Bill_Brownless.html,resolved,"adjudicated (2026-09-05): Name variant only. AFL Tables lists Bill Brownless (Geelong 1986–1997, 198 games = the list's 198); Wikipedia 'Bill Brownless' (Anthony William Brownless) uses Billy throughout; DraftGuru's 2018 row reads 'Father-Son (Bill Brownless)'."
wikipedia-father-son-rule:2019:01,2019,national,25,25,Port Adelaide,Jackson Mead,64,players/J/Jackson_Mead.html,unique,"name, debut 2022 within 2019..2026, played for the club; games corroborated",Darren Mead,122,players/D/Darren_Mead.html,unique,"name, debut 1997 at least 15 seasons before 2019, played for the club; games corroborated"
wikipedia-father-son-rule:2019:02,2019,national,29,29,Hawthorn,Finn Maginness^,58,players/F/Finn_Maginness.html,unique,"name, debut 2020 within 2019..2026, played for the club; games corroborated",Scott Maginness,131,players/S/Scott_Maginness.html,unique,"name, debut 1988 at least 15 seasons before 2019, played for the club; games corroborated"
wikipedia-father-son-rule:2019:03,2019,rookie,22,22 (rookie),Port Adelaide,Trent Burgoyne,0,,unmatched,never played a VFL/AFL match (list: 0 games),Peter Burgoyne,240,players/P/Peter_Burgoyne.html,unique,"name, debut 1997 at least 15 seasons before 2019, played for the club; games corroborated"
wikipedia-father-son-rule:2020:01,2020,national,51,51,Richmond,"Maurice Rioli, Jr.^",49,players/M/Maurice_Rioli1.html,unique,"name, debut 2021 within 2020..2027, played for the club; games corroborated","Maurice Rioli, Snr.",118,players/M/Maurice_Rioli0.html,unique,"name, debut 1982 at least 15 seasons before 2020, played for the club; games corroborated"
wikipedia-father-son-rule:2020:02,2020,rookie,37,37 (rookie),Port Adelaide,Taj Schofield,0,,unmatched,never played a VFL/AFL match (list: 0 games),Jarrad Schofield,131,players/J/Jarrad_Schofield.html,unique,"name, debut 1993 at least 15 seasons before 2020, played for the club; games corroborated"
wikipedia-father-son-rule:2021:01,2021,national,2,2,Western Bulldogs,Sam Darcy^,45,players/S/Sam_Darcy.html,unique,"name, debut 2022 within 2021..2028, played for the club; games corroborated",Luke Darcy,226,players/L/Luke_Darcy.html,unique,"name, debut 1994 at least 15 seasons before 2021, played for the club; games corroborated"
wikipedia-father-son-rule:2021:02,2021,national,4,4,Collingwood,Nick Daicos^,95,players/N/Nick_Daicos.html,unique,"name, debut 2022 within 2021..2028, played for the club; games corroborated",Peter Daicos,250,players/P/Peter_Daicos.html,unique,"name, debut 1979 at least 15 seasons before 2021, played for the club; games corroborated"
wikipedia-father-son-rule:2021:03,2021,national,59,59,North Melbourne,Jackson Archer^,26,players/J/Jackson_Archer.html,unique,"name, debut 2022 within 2021..2028, played for the club; games corroborated",Glenn Archer,311,players/G/Glenn_Archer.html,unique,"name, debut 1992 at least 15 seasons before 2021, played for the club; games corroborated"
wikipedia-father-son-rule:2021:04,2021,national,60,60,Port Adelaide,Jase Burgoyne^,56,players/J/Jase_Burgoyne.html,unique,"name, debut 2022 within 2021..2028, played for the club; games corroborated",Peter Burgoyne,240,players/P/Peter_Burgoyne.html,unique,"name, debut 1997 at least 15 seasons before 2021, played for the club; games corroborated"
wikipedia-father-son-rule:2021:05,2021,national,65,65,Melbourne,Taj Woewodin,21,players/T/Taj_Woewodin.html,unique,"name, debut 2023 within 2021..2028, played for the club; games corroborated",Shane Woewodin,138,players/S/Shane_Woewodin.html,unique,"name, debut 1997 at least 15 seasons before 2021, played for the club; games corroborated"
wikipedia-father-son-rule:2022:01,2022,national,2,2,Brisbane Lions,Will Ashcroft^,58,players/W/Will_Ashcroft.html,unique,"name, debut 2023 within 2022..2029, played for the club; games corroborated",Marcus Ashcroft,318,players/M/Marcus_Ashcroft.html,unique,"name, debut 1989 at least 15 seasons before 2022, played for the club; games corroborated"
wikipedia-father-son-rule:2022:02,2022,national,12,12,Brisbane Lions,Jaspa Fletcher^,65,players/J/Jaspa_Fletcher.html,unique,"name, debut 2023 within 2022..2029, played for the club; list games differ from AFLDB (club-grain figure)",Adrian Fletcher,107,players/A/Adrian_Fletcher.html,unique,"name, debut 1989 at least 15 seasons before 2022, played for the club; games corroborated"
wikipedia-father-son-rule:2022:03,2022,national,17,17,Adelaide,Max Michalanney^,66,players/M/Max_Michalanney.html,unique,"name, debut 2023 within 2022..2029, played for the club; games corroborated",Jim Michalanney,211 (Norwood),,unmatched,no VFL/AFL career (list: 211 (Norwood))
wikipedia-father-son-rule:2022:04,2022,national,45,45,Essendon,Alwyn Davey Jr.,20,players/A/Alwyn_Davey1.html,unique,"name, debut 2023 within 2022..2029, played for the club; games corroborated",Alwyn Davey,100,players/A/Alwyn_Davey0.html,unique,"name, debut 2007 at least 15 seasons before 2022, played for the club; games corroborated"
wikipedia-father-son-rule:2022:05,2022,national,54,54,Essendon,Jayden Davey,0,,unmatched,never played a VFL/AFL match (list: 0 games),Alwyn Davey,100,players/A/Alwyn_Davey0.html,unique,"name, debut 2007 at least 15 seasons before 2022, played for the club; games corroborated"
wikipedia-father-son-rule:2022:06,2022,national,56,56,North Melbourne,Cooper Harvey^,10,players/C/Cooper_Harvey.html,unique,"name, debut 2023 within 2022..2029, played for the club; games corroborated",Brent Harvey,432,players/B/Brent_Harvey.html,unique,"name, debut 1996 at least 15 seasons before 2022, played for the club; games corroborated"
wikipedia-father-son-rule:2022:07,2022,rookie,32,32 (rookie),Geelong,Osca Riccardi,0,,unmatched,never played a VFL/AFL match (list: 0 games),Peter Riccardi,288,players/P/Peter_Riccardi.html,unique,"name, debut 1992 at least 15 seasons before 2022, played for the club; games corroborated"
wikipedia-father-son-rule:2023:01,2023,national,15,15,Western Bulldogs,Jordan Croft^,0,players/J/Jordan_Croft.html,unique,"name, debut 2025 within 2023..2030, played for the club; list games differ from AFLDB (club-grain figure)",Matthew Croft,186,players/M/Matthew_Croft.html,unique,"name, debut 1991 at least 15 seasons before 2023, played for the club; games corroborated"
wikipedia-father-son-rule:2023:02,2023,national,19,19,Hawthorn,Will McCabe^,0,,unmatched,never played a VFL/AFL match (list: 0 games),Luke McCabe,138,players/L/Luke_McCabe.html,unique,"name, debut 1995 at least 15 seasons before 2023, played for the club; games corroborated"
wikipedia-father-son-rule:2023:03,2023,national,56,56,Hawthorn,Calsher Dear^,26,players/C/Calsher_Dear.html,unique,"name, debut 2024 within 2023..2030, played for the club; games corroborated",Paul Dear,123,players/P/Paul_Dear.html,unique,"name, debut 1987 at least 15 seasons before 2023, played for the club; games corroborated"
wikipedia-father-son-rule:2023:04,2023,rookie,22,22 (rookie),Melbourne,Kynan Brown,2,players/K/Kynan_Brown.html,unique,"name, debut 2024 within 2023..2030, played for the club; games corroborated",Nathan Brown,146,players/N/Nathan_Brown0.html,unique,"name, debut 1998 at least 15 seasons before 2023, played for the club; games corroborated"
wikipedia-father-son-rule:2023:05,2023,pre-draft,,,Sydney,Indhi Kirk,0,,unmatched,never played a VFL/AFL match (list: 0 games),Brett Kirk,241,players/B/Brett_Kirk.html,unique,"name, debut 1999 at least 15 seasons before 2023, played for the club; games corroborated"
wikipedia-father-son-rule:2024:01,2024,national,5,5,Brisbane Lions,Levi Ashcroft^,27,players/L/Levi_Ashcroft.html,unique,"name, debut 2025 within 2024..2031, played for the club; games corroborated",Marcus Ashcroft,318,players/M/Marcus_Ashcroft.html,unique,"name, debut 1989 at least 15 seasons before 2024, played for the club; games corroborated"
wikipedia-father-son-rule:2024:02,2024,national,43,43,Carlton,Ben Camporeale^,0,,unmatched,never played a VFL/AFL match (list: 0 games),Scott Camporeale,233,players/S/Scott_Camporeale.html,unique,"name, debut 1995 at least 15 seasons before 2024, played for the club; games corroborated"
wikipedia-father-son-rule:2024:03,2024,national,54,54,Carlton,Lucas Camporeale^,3,players/L/Lucas_Camporeale.html,unique,"name, debut 2025 within 2024..2031, played for the club; games corroborated",Scott Camporeale,233,players/S/Scott_Camporeale.html,unique,"name, debut 1995 at least 15 seasons before 2024, played for the club; games corroborated"
wikipedia-father-son-rule:2024:04,2024,national,59,59,Adelaide,Tyler Welsh^,0,,unmatched,never played a VFL/AFL match (list: 0 games),Scott Welsh,129,players/S/Scott_Welsh.html,unique,"name, debut 1996 at least 15 seasons before 2024, played for the club; games corroborated"
wikipedia-father-son-rule:2024:05,2024,national,63,63,Fremantle,Jaren Carr^,0,,unmatched,never played a VFL/AFL match (list: 0 games),Matthew Carr,134,players/M/Matthew_Carr.html,unique,"name, debut 1999 at least 15 seasons before 2024, played for the club; games corroborated"
wikipedia-father-son-rule:2024:06,2024,national,67,67,North Melbourne,River Stevens^,0,,unmatched,never played a VFL/AFL match (list: 0 games),Anthony Stevens,292,players/A/Anthony_Stevens.html,unique,"name, debut 1989 at least 15 seasons before 2024, played for the club; games corroborated"
wikipedia-father-son-rule:2025:01,2025,national,3,3,Carlton,Harry Dean^,0,,unmatched,never played a VFL/AFL match (list: 0 games),Peter Dean,248,players/P/Peter_Dean.html,unique,"name, debut 1984 at least 15 seasons before 2025, played for the club; games corroborated"
wikipedia-father-son-rule:2025:02,2025,national,60,60,Western Bulldogs,Will Darcy^,0,,unmatched,never played a VFL/AFL match (list: 0 games),Luke Darcy,226,players/L/Luke_Darcy.html,unique,"name, debut 1994 at least 15 seasons before 2025, played for the club; games corroborated"
wikipedia-father-son-rule:2025:03,2025,pre-draft,,,Melbourne,Kalani White^,0,,unmatched,never played a VFL/AFL match (list: 0 games),Jeff White,236,players/J/Jeff_White.html,unique,"name, debut 1995 at least 15 seasons before 2025, played for the club; games corroborated"
