id,category,question,expected_status,tags
exp_0406,stratified_final,most disposalss in a final at Gabba,plan,"final,venue"
exp_0407,stratified_player_game,most handballss by a Richmond player against Collingwood,plan,player_game
exp_0408,stratified_team_match,Collingwood lowest score at Football Park,plan,team_match
exp_0409,stratified_season,most markss in 1987,plan,season
exp_0410,stratified_final,most goals in a final at Marvel,plan,"final,venue"
exp_0411,stratified_player_game,most goalss by a Geelong player against Geelong,plan,player_game
exp_0412,stratified_team_match,Hawthorn lowest score at Optus Stadium,plan,team_match
exp_0413,stratified_season,most handballss in 1991,plan,season
exp_0414,stratified_final,most kickss in a final at Adelaide Oval,plan,"final,venue"
exp_0415,stratified_player_game,most markss by a Brisbane Lions player against Collingwood,plan,player_game
exp_0416,stratified_team_match,West Coast lowest score at Gabba,plan,team_match
exp_0417,stratified_season,most goalss in 1995,plan,season
exp_0418,stratified_final,most disposalss in a final at Football Park,plan,"final,venue"
exp_0419,stratified_player_game,most handballss by a Carlton player against Geelong,plan,player_game
exp_0420,stratified_team_match,Essendon lowest score at Marvel,plan,team_match
exp_0421,stratified_season,most markss in 1999,plan,season
exp_0422,stratified_final,most goals in a final at Optus Stadium,plan,"final,venue"
exp_0423,stratified_player_game,most goalss by a Melbourne player against Collingwood,plan,player_game
exp_0424,stratified_team_match,Sydney lowest score at Adelaide Oval,plan,team_match
exp_0425,stratified_season,most handballss in 2003,plan,season
exp_0426,stratified_final,most kickss in a final at Gabba,plan,"final,venue"
exp_0427,stratified_player_game,most markss by a Richmond player against Geelong,plan,player_game
exp_0428,stratified_team_match,Collingwood lowest score at Football Park,plan,team_match
exp_0429,stratified_season,most goalss in 2007,plan,season
exp_0430,stratified_final,most disposalss in a final at Marvel,plan,"final,venue"
exp_0431,stratified_player_game,most handballss by a Geelong player against Collingwood,plan,player_game
exp_0432,stratified_team_match,Hawthorn lowest score at Optus Stadium,plan,team_match
exp_0433,stratified_season,most markss in 2011,plan,season
exp_0434,stratified_final,most goals in a final at Adelaide Oval,plan,"final,venue"
exp_0435,stratified_player_game,most goalss by a Brisbane Lions player against Geelong,plan,player_game
exp_0436,stratified_team_match,West Coast lowest score at Gabba,plan,team_match
exp_0437,stratified_season,most handballss in 2015,plan,season
exp_0438,stratified_final,most kickss in a final at Football Park,plan,"final,venue"
exp_0439,stratified_player_game,most markss by a Carlton player against Collingwood,plan,player_game
exp_0440,stratified_team_match,Essendon lowest score at Marvel,plan,team_match
exp_0441,stratified_season,most goalss in 2019,plan,season
exp_0442,stratified_final,most disposalss in a final at Optus Stadium,plan,"final,venue"
exp_0443,stratified_player_game,most handballss by a Melbourne player against Geelong,plan,player_game
exp_0444,stratified_team_match,Sydney lowest score at Adelaide Oval,plan,team_match
exp_0445,stratified_season,most markss in 2023,plan,season
exp_0446,stratified_final,most goals in a final at Gabba,plan,"final,venue"
exp_0447,stratified_player_game,most goalss by a Richmond player against Collingwood,plan,player_game
exp_0448,stratified_team_match,Collingwood lowest score at Football Park,plan,team_match
exp_0449,stratified_season,most handballss in 1967,plan,season
exp_0450,stratified_final,most kickss in a final at Marvel,plan,"final,venue"
exp_0451,stratified_player_game,most markss by a Geelong player against Geelong,plan,player_game
exp_0452,stratified_team_match,Hawthorn lowest score at Optus Stadium,plan,team_match
exp_0453,stratified_season,most goalss in 1971,plan,season
exp_0454,stratified_final,most disposalss in a final at Adelaide Oval,plan,"final,venue"
exp_0455,stratified_player_game,most handballss by a Brisbane Lions player against Collingwood,plan,player_game
exp_0456,stratified_team_match,West Coast lowest score at Gabba,plan,team_match
exp_0457,stratified_season,most markss in 1975,plan,season
exp_0458,stratified_final,most goals in a final at Football Park,plan,"final,venue"
exp_0459,stratified_player_game,most goalss by a Carlton player against Geelong,plan,player_game
exp_0460,stratified_team_match,Essendon lowest score at Marvel,plan,team_match
exp_0461,stratified_season,most handballss in 1979,plan,season
exp_0462,stratified_final,most kickss in a final at Optus Stadium,plan,"final,venue"
exp_0463,stratified_player_game,most markss by a Melbourne player against Collingwood,plan,player_game
exp_0464,stratified_team_match,Sydney lowest score at Adelaide Oval,plan,team_match
exp_0465,stratified_season,most goalss in 1983,plan,season
exp_0466,stratified_final,most disposalss in a final at Gabba,plan,"final,venue"
exp_0467,stratified_player_game,most handballss by a Richmond player against Geelong,plan,player_game
exp_0468,stratified_team_match,Collingwood lowest score at Football Park,plan,team_match
exp_0469,stratified_season,most markss in 1987,plan,season
exp_0470,stratified_final,most goals in a final at Marvel,plan,"final,venue"
exp_0471,stratified_player_game,most goalss by a Geelong player against Collingwood,plan,player_game
exp_0472,stratified_team_match,Hawthorn lowest score at Optus Stadium,plan,team_match
exp_0473,stratified_season,most handballss in 1991,plan,season
exp_0474,stratified_final,most kickss in a final at Adelaide Oval,plan,"final,venue"
exp_0475,stratified_player_game,most markss by a Brisbane Lions player against Geelong,plan,player_game
exp_0476,stratified_team_match,West Coast lowest score at Gabba,plan,team_match
exp_0477,stratified_season,most goalss in 1995,plan,season
exp_0478,stratified_final,most disposalss in a final at Football Park,plan,"final,venue"
exp_0479,stratified_player_game,most handballss by a Carlton player against Collingwood,plan,player_game
exp_0480,stratified_team_match,Essendon lowest score at Marvel,plan,team_match
exp_0481,stratified_season,most markss in 1999,plan,season
exp_0482,stratified_final,most goals in a final at Optus Stadium,plan,"final,venue"
exp_0483,stratified_player_game,most goalss by a Melbourne player against Geelong,plan,player_game
exp_0484,stratified_team_match,Sydney lowest score at Adelaide Oval,plan,team_match
exp_0485,stratified_season,most handballss in 2003,plan,season
exp_0486,stratified_final,most kickss in a final at Gabba,plan,"final,venue"
exp_0487,stratified_player_game,most markss by a Richmond player against Collingwood,plan,player_game
exp_0488,stratified_team_match,Collingwood lowest score at Football Park,plan,team_match
exp_0489,stratified_season,most goalss in 2007,plan,season
exp_0490,stratified_final,most disposalss in a final at Marvel,plan,"final,venue"
exp_0491,stratified_player_game,most handballss by a Geelong player against Geelong,plan,player_game
exp_0492,stratified_team_match,Hawthorn lowest score at Optus Stadium,plan,team_match
exp_0493,stratified_season,most markss in 2011,plan,season
exp_0494,stratified_final,most goals in a final at Adelaide Oval,plan,"final,venue"
exp_0495,stratified_player_game,most goalss by a Brisbane Lions player against Collingwood,plan,player_game
exp_0496,stratified_team_match,West Coast lowest score at Gabba,plan,team_match
exp_0497,stratified_season,most handballss in 2015,plan,season
exp_0498,stratified_final,most kickss in a final at Football Park,plan,"final,venue"
exp_0499,stratified_player_game,most markss by a Carlton player against Geelong,plan,player_game
exp_0500,stratified_team_match,Essendon lowest score at Marvel,plan,team_match
exp_0501,stratified_season,most goalss in 2019,plan,season
